"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"309","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/2ytgkQ3oBK https://t.co/Lh6Ze03YAg",FALSE,0,NA,2018-03-06 17:07:28,FALSE,NA,"971069765862199296",NA,"<a href=""http://www.voxmedia.com"" rel=""nofollow"">Vox Media</a>","RA_Becks",0,FALSE,FALSE,NA,NA
"310","Evaluating oseltamivir prescriptions in Centers for Medicare and Medicaid Services medical claims records as an ind… https://t.co/T7dpZnDKlY",FALSE,0,NA,2018-03-06 17:04:03,TRUE,NA,"971068906772115456",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","medicalpolicy",0,FALSE,FALSE,NA,NA
"311","What is flu, what are the symptoms of the influenza, how contagious is the virus, and is a killer flu pandemic.. https://t.co/qETrnD12IG",FALSE,0,NA,2018-03-06 16:36:19,FALSE,NA,"971061928176037889",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","andrewsalmonus",0,FALSE,FALSE,NA,NA
"312","RT @connectingnurse: Prevent people from dying of respiratory diseases linked to seasonal #flu. Share this helpful infography available in…",FALSE,0,NA,2018-03-06 16:11:56,FALSE,NA,"971055791745748995",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kasia_HP",1,TRUE,FALSE,NA,NA
"313","RT @PGEU: The @EUCouncil recommends a seasonal #influenza vaccination coverage of 75% for all at risk groups, yet member states fall short…",FALSE,0,NA,2018-03-06 15:41:54,FALSE,NA,"971048231059804160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JanDeBelie",7,TRUE,FALSE,NA,NA
"314","RT @ECDC_Flu: #Influenza is increasing in eastern #Europe. Vaccination targeting the elderly, people with chronic diseases &amp; healthcare wor…",FALSE,0,NA,2018-03-06 15:37:14,FALSE,NA,"971047058609266688",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AlsinaMier",34,TRUE,FALSE,NA,NA
"315","RT @PGEU: The @EUCouncil recommends a seasonal #influenza vaccination coverage of 75% for all at risk groups, yet member states fall short…",FALSE,0,NA,2018-03-06 15:36:57,FALSE,NA,"971046986546864128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Portalfarma",7,TRUE,FALSE,NA,NA
"316","RT @ECDC_Flu: See @ECDC_EU expert comment on @WHO recommendations for #influenza virus vaccine composition for 2018-19 Northern hemisphere…",FALSE,0,NA,2018-03-06 15:30:04,FALSE,NA,"971045255847038978",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HumanVacProject",7,TRUE,FALSE,NA,NA
"317","RT @ECDC_Flu: #Influenza is increasing in eastern #Europe. Vaccination targeting the elderly, people with chronic diseases &amp; healthcare wor…",FALSE,0,NA,2018-03-06 15:20:53,FALSE,NA,"971042944827514887",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ESWInfluenza",34,TRUE,FALSE,NA,NA
"318","RT @ShotofPrev: While there's been a slight decrease in #flu activity, as many as 39 states are still reporting high activity, with influen…",FALSE,0,NA,2018-03-06 15:14:08,FALSE,NA,"971041244846678016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","delamed",3,TRUE,FALSE,NA,NA
"319","RT @ESWInfluenza: The @EUCouncil recommends a seasonal #influenza vaccination coverage of 75% for all at risk groups, yet member states fal…",FALSE,0,NA,2018-03-06 15:10:06,FALSE,NA,"971040230370430984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrTedvanEssen",8,TRUE,FALSE,NA,NA
"320","Guidance for School Administrators to Help Reduce the Spread of Seasonal Influenza in K-12 Schools | Seasonal Influ… https://t.co/Rh8eryhfty",FALSE,0,NA,2018-03-06 15:06:13,TRUE,NA,"971039252011278336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1RHashimoto",0,FALSE,FALSE,NA,NA
"321","RT @ECDC_Flu: See @ECDC_EU expert comment on @WHO recommendations for #influenza virus vaccine composition for 2018-19 Northern hemisphere…",FALSE,0,NA,2018-03-06 14:52:11,FALSE,NA,"971035722038816775",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ISARIC1",7,TRUE,FALSE,NA,NA
